time,xd,zd,contact
10.418000,-0.006830,-0.213436,1
10.429000,-0.005963,-0.213592,1
10.440000,-0.005076,-0.213726,1
10.450000,-0.004253,-0.213829,1
10.461000,-0.003333,-0.213920,1
10.472000,-0.002402,-0.213989,1
10.482000,-0.001547,-0.214032,1
10.493000,-0.000603,-0.214058,1
10.504000,0.000344,-0.214061,1
10.515000,0.001290,-0.214041,1
10.526000,0.002231,-0.213999,1
10.537000,0.003164,-0.213934,1
10.548000,0.004086,-0.213847,1
10.559000,0.004994,-0.213737,1
10.570000,0.005883,-0.213605,1
10.581000,0.006752,-0.213451,1
10.591000,0.007520,-0.213291,1
10.602000,0.008340,-0.213095,1
10.613000,0.009129,-0.212878,1
10.623000,0.009817,-0.212661,1
10.634000,0.010540,-0.212403,1
10.645000,0.011223,-0.212124,1
10.656000,0.011865,-0.211825,1
10.667000,0.012462,-0.211506,1
10.678000,0.013011,-0.211167,1
10.689000,0.013510,-0.210808,1
10.700000,0.013957,-0.210431,1
10.711000,0.014348,-0.210036,1
10.722000,0.014682,-0.209622,1
10.732000,0.014934,-0.209231,1
10.743000,0.015152,-0.208784,1
10.754000,0.015307,-0.208321,1
10.765000,0.015396,-0.207842,1
10.776000,0.015418,-0.207347,1
10.787000,0.015371,-0.206838,1
10.798000,0.015254,-0.206315,1
10.809000,0.015065,-0.205777,0
10.820000,0.014804,-0.205227,0
10.831000,0.014469,-0.204665,0
10.841000,0.014101,-0.204144,0
10.852000,0.013623,-0.203560,0
10.863000,0.013071,-0.202966,0
10.873000,0.012503,-0.202417,0
10.884000,0.011806,-0.201805,0
10.895000,0.011033,-0.201185,0
10.906000,0.010185,-0.200557,0
10.917000,0.009262,-0.199923,0
10.928000,0.008265,-0.199283,0
10.939000,0.007195,-0.198637,0
10.950000,0.006053,-0.197988,0
10.961000,0.004840,-0.197334,0
10.972000,0.003559,-0.196678,0
10.982000,0.002336,-0.196079,0
10.993000,0.000928,-0.195420,0
11.004000,-0.000534,-0.195240,0
11.015000,-0.001958,-0.195900,0
11.026000,-0.003318,-0.196558,0
11.037000,-0.004612,-0.197215,0
11.048000,-0.005837,-0.197869,0
11.059000,-0.006992,-0.198520,0
11.070000,-0.008076,-0.199166,0
11.081000,-0.009086,-0.199807,0
11.091000,-0.009940,-0.200385,0
11.102000,-0.010809,-0.201015,0
11.113000,-0.011602,-0.201637,0
11.123000,-0.012258,-0.202196,0
11.134000,-0.012907,-0.202802,0
11.145000,-0.013480,-0.203399,0
11.156000,-0.013978,-0.203986,0
11.167000,-0.014401,-0.204562,0
11.178000,-0.014749,-0.205126,0
11.189000,-0.015023,-0.205678,0
11.200000,-0.015225,-0.206218,1
11.211000,-0.015355,-0.206744,1
11.222000,-0.015414,-0.207256,1
11.232000,-0.015408,-0.207708,1
11.243000,-0.015337,-0.208192,1
11.254000,-0.015201,-0.208659,1
11.265000,-0.015000,-0.209111,1
11.276000,-0.014736,-0.209545,1
11.287000,-0.014413,-0.209962,1
11.298000,-0.014032,-0.210361,1
11.309000,-0.013595,-0.210741,1
11.320000,-0.013106,-0.211103,1
11.331000,-0.012565,-0.211446,1
11.341000,-0.012032,-0.211740,1
11.352000,-0.011403,-0.212045,1
11.363000,-0.010730,-0.212329,1
11.373000,-0.010084,-0.212570,1
11.384000,-0.009338,-0.212815,1
11.395000,-0.008558,-0.213038,1
11.406000,-0.007747,-0.213240,1
11.417000,-0.006907,-0.213420,1
11.428000,-0.006043,-0.213579,1
11.439000,-0.005157,-0.213715,1
11.450000,-0.004253,-0.213829,1
11.461000,-0.003333,-0.213920,1
11.472000,-0.002402,-0.213989,1
11.482000,-0.001547,-0.214032,1
11.493000,-0.000603,-0.214058,1
11.504000,0.000344,-0.214061,1
11.514000,0.001204,-0.214044,1
11.525000,0.002146,-0.214004,1
11.536000,0.003080,-0.213941,1
11.547000,0.004003,-0.213856,1
11.558000,0.004912,-0.213748,1
11.569000,0.005803,-0.213618,1
11.580000,0.006674,-0.213466,1
11.591000,0.007520,-0.213291,1
11.602000,0.008340,-0.213095,1
11.613000,0.009129,-0.212878,1
11.623000,0.009817,-0.212661,1
11.634000,0.010540,-0.212403,1
11.645000,0.011223,-0.212124,1
11.656000,0.011865,-0.211825,1
11.667000,0.012462,-0.211506,1
11.678000,0.013011,-0.211167,1
11.689000,0.013510,-0.210808,1
11.700000,0.013957,-0.210431,1
11.711000,0.014348,-0.210036,1
11.722000,0.014682,-0.209622,1
11.732000,0.014934,-0.209231,1
11.743000,0.015152,-0.208784,1
11.754000,0.015307,-0.208321,1
11.764000,0.015390,-0.207886,1
11.775000,0.015418,-0.207393,1
11.786000,0.015378,-0.206885,1
11.797000,0.015267,-0.206363,1
11.808000,0.015085,-0.205827,0
11.819000,0.014831,-0.205278,0
11.830000,0.014503,-0.204717,0
11.841000,0.014101,-0.204144,0
11.852000,0.013623,-0.203560,0
11.863000,0.013071,-0.202966,0
11.873000,0.012503,-0.202417,0
11.884000,0.011806,-0.201805,0
11.895000,0.011033,-0.201185,0
11.906000,0.010185,-0.200557,0
11.917000,0.009262,-0.199923,0
11.928000,0.008265,-0.199283,0
11.939000,0.007195,-0.198637,0
11.950000,0.006053,-0.197988,0
11.961000,0.004840,-0.197334,0
11.972000,0.003559,-0.196678,0
11.982000,0.002336,-0.196079,0
11.993000,0.000928,-0.195420,0
12.004000,-0.000534,-0.195240,0
12.014000,-0.001831,-0.195840,0
12.025000,-0.003198,-0.196498,0
12.036000,-0.004497,-0.197155,0
12.047000,-0.005729,-0.197810,0
12.058000,-0.006890,-0.198461,0
12.069000,-0.007980,-0.199107,0
12.080000,-0.008997,-0.199749,0
12.091000,-0.009940,-0.200385,0
12.102000,-0.010809,-0.201015,0
12.113000,-0.011602,-0.201637,0
12.123000,-0.012258,-0.202196,0
12.134000,-0.012907,-0.202802,0
12.145000,-0.013480,-0.203399,0
12.155000,-0.013936,-0.203933,0
12.166000,-0.014365,-0.204510,0
12.177000,-0.014720,-0.205075,0
12.188000,-0.015001,-0.205629,0
12.199000,-0.015209,-0.206169,0
12.210000,-0.015346,-0.206697,1
12.221000,-0.015412,-0.207210,1
12.232000,-0.015408,-0.207708,1
12.243000,-0.015337,-0.208192,1
12.254000,-0.015201,-0.208659,1
12.264000,-0.015020,-0.209070,1
12.275000,-0.014763,-0.209506,1
12.286000,-0.014445,-0.209924,1
12.297000,-0.014069,-0.210325,1
12.308000,-0.013637,-0.210707,1
12.319000,-0.013152,-0.211071,1
12.330000,-0.012616,-0.211415,1
12.341000,-0.012032,-0.211740,1
12.352000,-0.011403,-0.212045,1
12.363000,-0.010730,-0.212329,1
12.373000,-0.010084,-0.212570,1
12.384000,-0.009338,-0.212815,1
12.395000,-0.008558,-0.213038,1
12.405000,-0.007822,-0.213223,1
12.416000,-0.006985,-0.213405,1
12.427000,-0.006123,-0.213565,1
12.438000,-0.005238,-0.213703,1
12.449000,-0.004335,-0.213819,1
12.460000,-0.003417,-0.213913,1
12.471000,-0.002487,-0.213984,1
12.482000,-0.001547,-0.214032,1
12.493000,-0.000603,-0.214058,1
12.504000,0.000344,-0.214061,1
12.514000,0.001204,-0.214044,1
12.525000,0.002146,-0.214004,1
12.536000,0.003080,-0.213941,1
12.547000,0.004003,-0.213856,1
12.558000,0.004912,-0.213748,1
12.569000,0.005803,-0.213618,1
12.580000,0.006674,-0.213466,1
12.591000,0.007520,-0.213291,1
12.602000,0.008340,-0.213095,1
12.613000,0.009129,-0.212878,1
12.623000,0.009817,-0.212661,1
12.634000,0.010540,-0.212403,1
12.645000,0.011223,-0.212124,1
12.655000,0.011809,-0.211853,1
12.666000,0.012410,-0.211536,1
12.677000,0.012963,-0.211198,1
12.688000,0.013467,-0.210842,1
12.699000,0.013918,-0.210466,1
12.710000,0.014315,-0.210072,1
12.721000,0.014654,-0.209660,1
12.732000,0.014934,-0.209231,1
12.743000,0.015152,-0.208784,1
12.754000,0.015307,-0.208321,1
12.764000,0.015390,-0.207886,1
12.775000,0.015418,-0.207393,1
12.786000,0.015378,-0.206885,1
12.796000,0.015280,-0.206411,1
12.807000,0.015105,-0.205876,0
12.818000,0.014857,-0.205328,0
12.829000,0.014536,-0.204768,0
12.840000,0.014140,-0.204196,0
12.851000,0.013670,-0.203613,0
12.862000,0.013124,-0.203020,0
12.873000,0.012503,-0.202417,0
12.884000,0.011806,-0.201805,0
12.895000,0.011033,-0.201185,0
12.905000,0.010265,-0.200615,0
12.916000,0.009349,-0.199981,0
12.927000,0.008358,-0.199341,0
12.938000,0.007295,-0.198696,0
12.949000,0.006159,-0.198047,0
12.960000,0.004953,-0.197394,0
12.971000,0.003678,-0.196738,0
12.982000,0.002336,-0.196079,0
12.993000,0.000928,-0.195420,0
13.004000,-0.000534,-0.195240,0
13.014000,-0.001831,-0.195840,0
13.025000,-0.003198,-0.196498,0
13.036000,-0.004497,-0.197155,0
13.046000,-0.005620,-0.197750,0
13.057000,-0.006788,-0.198402,0
13.068000,-0.007884,-0.199049,0
13.079000,-0.008908,-0.199691,0
13.090000,-0.009858,-0.200327,0
13.101000,-0.010733,-0.200958,0
13.112000,-0.011533,-0.201581,0
13.123000,-0.012258,-0.202196,0
13.134000,-0.012907,-0.202802,0
13.145000,-0.013480,-0.203399,0
13.155000,-0.013936,-0.203933,0
13.166000,-0.014365,-0.204510,0
13.177000,-0.014720,-0.205075,0
13.188000,-0.015001,-0.205629,0
13.199000,-0.015209,-0.206169,0
13.210000,-0.015346,-0.206697,1
13.221000,-0.015412,-0.207210,1
13.232000,-0.015408,-0.207708,1
13.243000,-0.015337,-0.208192,1
13.254000,-0.015201,-0.208659,1
13.264000,-0.015020,-0.209070,1
13.275000,-0.014763,-0.209506,1
13.286000,-0.014445,-0.209924,1
13.296000,-0.014106,-0.210289,1
13.307000,-0.013679,-0.210673,1
13.318000,-0.013199,-0.211039,1
13.329000,-0.012667,-0.211385,1
13.340000,-0.012087,-0.211711,1
13.351000,-0.011462,-0.212018,1
13.362000,-0.010793,-0.212304,1
13.373000,-0.010084,-0.212570,1
13.384000,-0.009338,-0.212815,1
13.395000,-0.008558,-0.213038,1
13.405000,-0.007822,-0.213223,1
13.416000,-0.006985,-0.213405,1
13.427000,-0.006123,-0.213565,1
13.437000,-0.005320,-0.213692,1
13.448000,-0.004418,-0.213810,1
13.459000,-0.003501,-0.213905,1
13.470000,-0.002572,-0.213978,1
13.481000,-0.001633,-0.214029,1
13.492000,-0.000689,-0.214057,1
13.503000,0.000258,-0.214062,1
13.514000,0.001204,-0.214044,1
13.525000,0.002146,-0.214004,1
13.536000,0.003080,-0.213941,1
13.546000,0.003920,-0.213864,1
13.557000,0.004830,-0.213759,1
13.568000,0.005723,-0.213631,1
13.579000,0.006596,-0.213480,1
13.590000,0.007445,-0.213308,1
13.601000,0.008267,-0.213114,1
13.612000,0.009058,-0.212898,1
13.623000,0.009817,-0.212661,1
13.634000,0.010540,-0.212403,1
13.645000,0.011223,-0.212124,1
13.655000,0.011809,-0.211853,1
13.666000,0.012410,-0.211536,1
13.677000,0.012963,-0.211198,1
13.687000,0.013423,-0.210875,1
13.698000,0.013880,-0.210501,1
13.709000,0.014281,-0.210109,1
13.720000,0.014626,-0.209698,1
13.731000,0.014911,-0.209270,1
13.742000,0.015135,-0.208825,1
13.753000,0.015295,-0.208364,1
13.764000,0.015390,-0.207886,1
13.775000,0.015418,-0.207393,1
13.786000,0.015378,-0.206885,1
13.796000,0.015280,-0.206411,1
13.807000,0.015105,-0.205876,0
13.818000,0.014857,-0.205328,0
13.829000,0.014536,-0.204768,0
13.840000,0.014140,-0.204196,0
13.851000,0.013670,-0.203613,0
13.862000,0.013124,-0.203020,0
13.873000,0.012503,-0.202417,0
13.884000,0.011806,-0.201805,0
13.895000,0.011033,-0.201185,0
13.905000,0.010265,-0.200615,0
13.916000,0.009349,-0.199981,0
13.927000,0.008358,-0.199341,0
13.937000,0.007395,-0.198755,0
13.948000,0.006266,-0.198106,0
13.959000,0.005066,-0.197453,0
13.970000,0.003797,-0.196797,0
13.981000,0.002460,-0.196139,0
13.992000,0.001059,-0.195480,0
14.003000,-0.000401,-0.195180,0
14.014000,-0.001831,-0.195840,0
14.025000,-0.003198,-0.196498,0
14.036000,-0.004497,-0.197155,0
14.046000,-0.005620,-0.197750,0
14.057000,-0.006788,-0.198402,0
14.068000,-0.007884,-0.199049,0
14.078000,-0.008818,-0.199633,0
14.089000,-0.009774,-0.200270,0
14.100000,-0.010657,-0.200901,0
14.111000,-0.011464,-0.201524,0
14.122000,-0.012195,-0.202140,0
14.133000,-0.012851,-0.202747,0
14.144000,-0.013431,-0.203345,0
14.155000,-0.013936,-0.203933,0
14.166000,-0.014365,-0.204510,0
14.177000,-0.014720,-0.205075,0
14.187000,-0.014979,-0.205579,0
14.198000,-0.015194,-0.206121,0
14.209000,-0.015336,-0.206649,1
14.220000,-0.015409,-0.207164,1
14.231000,-0.015411,-0.207664,1
14.242000,-0.015347,-0.208149,1
14.253000,-0.015216,-0.208618,1
14.264000,-0.015020,-0.209070,1
14.275000,-0.014763,-0.209506,1
14.286000,-0.014445,-0.209924,1
14.296000,-0.014106,-0.210289,1
14.307000,-0.013679,-0.210673,1
14.318000,-0.013199,-0.211039,1
14.328000,-0.012718,-0.211354,1
14.339000,-0.012142,-0.211682,1
14.350000,-0.011520,-0.211991,1
14.361000,-0.010856,-0.212279,1
14.372000,-0.010150,-0.212547,1
14.383000,-0.009408,-0.212793,1
14.394000,-0.008630,-0.213019,1
14.405000,-0.007822,-0.213223,1
14.416000,-0.006985,-0.213405,1
14.427000,-0.006123,-0.213565,1
14.437000,-0.005320,-0.213692,1
14.448000,-0.004418,-0.213810,1
14.459000,-0.003501,-0.213905,1
14.470000,-0.002572,-0.213978,1
14.481000,-0.001633,-0.214029,1
14.492000,-0.000689,-0.214057,1
14.503000,0.000258,-0.214062,1
14.514000,0.001204,-0.214044,1
14.525000,0.002146,-0.214004,1
14.536000,0.003080,-0.213941,1
14.546000,0.003920,-0.213864,1
14.557000,0.004830,-0.213759,1
14.568000,0.005723,-0.213631,1
